league_id,league_name
1,Division I Men
2,Division II Men
3,Division III Men
4,Division I Women
5,Division II Women
6,Division III Women
7,NAIA Men
8,NAIA Women
9,NJCAA I Men
10,NJCAA I Women
11,NJCAA II Women
12,NJCAA III Women
13,Southern California CC Men
14,Southern California CC Women
991,Division Other Men
992,Division Other Women
993,NJCAA III Men
994,Northern California CC Men
995,Northern California CC Women
996,Wisconsin Junior College Athletic Association Men
997,Wisconsin Junior College Athletic Association Women
